City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Salalah,OM,17.0151,54.0924,75.29,78,0,3.44,clear sky
212,Bambanglipuro,ID,-7.95,110.2833,75.99,88,100,4.68,overcast clouds
213,Miracema Do Tocantins,BR,-9.5618,-48.3967,84.34,71,98,4.88,overcast clouds
214,Chuy,UY,-33.6971,-53.4616,75.27,39,3,16.82,clear sky
215,Acapulco,MX,16.8634,-99.8901,85.82,58,0,6.91,clear sky
216,Olafsvik,IS,64.8945,-23.7142,28.08,70,100,16.98,overcast clouds
217,Paamiut,GL,61.994,-49.6678,6.69,76,100,11.52,overcast clouds
218,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,81,1,18.86,clear sky
219,Spirit River,CA,55.7833,-118.8361,43.32,62,95,22.48,overcast clouds
220,Hambantota,LK,6.1241,81.1185,75.22,74,97,11.05,overcast clouds
221,Dubai,AE,25.2582,55.3047,71.22,56,20,11.5,few clouds
222,Skibbereen,IE,51.55,-9.2667,51.12,83,100,16.58,overcast clouds
223,Loa Janan,ID,-0.583,117.095,72.84,98,100,2.62,overcast clouds
224,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,65,0,14.97,clear sky
225,Whitianga,NZ,-36.8333,175.7,66.02,97,100,14.63,light rain
226,Lorengau,PG,-2.0226,147.2712,81.01,79,100,7.58,overcast clouds
227,Jinchang,CN,38.4953,102.1739,11.21,97,96,2.26,overcast clouds
228,Inuvik,CA,68.3499,-133.7218,-18.36,76,100,8.05,light snow
229,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,4.87,66,24,10.36,few clouds
230,Birjand,IR,32.8663,59.2211,32.47,74,0,4.61,clear sky
231,Vanimo,PG,-2.6741,141.3028,77.63,87,100,5.12,overcast clouds
232,Coquimbo,CL,-29.9533,-71.3436,69.53,68,75,13.8,broken clouds
233,Kaputa,ZM,-8.4689,29.6619,68.77,92,100,4.41,moderate rain
234,Floro,NO,61.5996,5.0328,37.36,75,40,14.97,scattered clouds
235,Jaora,IN,23.6333,75.1333,61.72,26,0,3.74,clear sky
236,Vestmanna,FO,62.1564,-7.1664,34.72,60,75,29.93,broken clouds
237,Kavaratti,IN,10.5669,72.642,78.3,68,62,10.71,broken clouds
238,Bethel,US,41.3712,-73.414,29.98,56,0,9.22,clear sky
239,Pacific Grove,US,36.6177,-121.9166,67.3,51,0,4.0,clear sky
240,Alugan,PH,12.2188,125.4808,79.27,80,47,14.16,scattered clouds
241,Nanortalik,GL,60.1432,-45.2371,15.22,67,100,20.65,overcast clouds
242,Libreville,GA,0.3925,9.4537,79.97,81,44,8.12,scattered clouds
243,Tura,IN,25.5198,90.2201,51.69,81,0,2.89,clear sky
244,Kamenka,RU,51.3223,42.7678,24.75,98,93,5.23,overcast clouds
245,Okhotsk,RU,59.3833,143.3,-0.83,69,100,12.15,overcast clouds
246,Muros,ES,42.7762,-9.0603,52.84,71,47,10.63,scattered clouds
247,Qaanaaq,GL,77.484,-69.3632,-12.6,58,32,8.34,scattered clouds
248,Vitim,RU,59.4511,112.5578,10.83,96,100,5.03,overcast clouds
249,Tateyama,JP,34.9833,139.8667,35.62,50,98,10.69,overcast clouds
250,Newport,GB,51.5877,-2.9984,48.45,72,15,8.99,few clouds
251,Catamarca,AR,-28.4696,-65.7852,80.78,45,32,1.99,scattered clouds
252,Ust-Kuyga,RU,70.0167,135.6,-40.18,100,100,4.36,overcast clouds
253,Cravo Norte,CO,6.3017,-70.2041,97.07,28,79,9.24,broken clouds
254,Yerbogachen,RU,61.2767,108.0108,-7.11,100,100,1.95,overcast clouds
255,La Ronge,CA,55.1001,-105.2842,3.45,78,100,10.36,overcast clouds
256,Ardmore,US,34.1743,-97.1436,50.59,40,0,1.01,clear sky
257,Aitape,PG,-3.1374,142.3475,77.54,88,100,3.24,overcast clouds
258,Clyde River,CA,70.4692,-68.5914,-32.57,68,0,8.05,clear sky
259,Maungaturoto,NZ,-36.1,174.3667,68.67,99,100,6.06,overcast clouds
260,Urumqi,CN,43.801,87.6005,-1.25,85,5,2.24,mist
261,Vila,PT,42.0304,-8.1588,43.68,51,100,4.68,overcast clouds
262,Carnarvon,AU,-24.8667,113.6333,73.58,66,39,23.8,scattered clouds
263,Lyngseidet,NO,69.5763,20.2189,30.29,82,100,18.23,overcast clouds
264,Kieta,PG,-6.2167,155.6333,79.36,83,100,7.56,overcast clouds
265,Saint Anthony,US,45.0205,-93.218,21.83,71,100,5.01,haze
266,Port Elizabeth,ZA,-33.918,25.5701,78.1,83,0,14.97,clear sky
267,Novikovo,RU,51.1537,37.8879,29.71,93,100,10.38,overcast clouds
268,Malakal,SS,9.5334,31.6605,77.29,14,59,9.69,broken clouds
269,Hovd,MN,48.0056,91.6419,-13.88,75,12,3.2,few clouds
270,Moussoro,TD,13.6408,16.4901,71.11,9,0,11.9,clear sky
271,Qingdao,CN,36.0986,120.3719,20.8,68,100,0.0,smoke
272,Vardo,NO,70.3705,31.1107,26.58,74,75,17.27,broken clouds
273,Sitka,US,57.0531,-135.33,44.49,81,100,23.02,moderate rain
274,Oyotun,PE,-6.8519,-79.3036,76.59,48,60,8.9,broken clouds
275,Ulundi,ZA,-28.3352,31.4162,65.52,97,52,3.02,broken clouds
276,Plettenberg Bay,ZA,-34.0527,23.3716,74.48,64,94,5.57,overcast clouds
277,Beringovskiy,RU,63.05,179.3167,-18.35,98,46,7.49,scattered clouds
278,Geraldton,AU,-28.7667,114.6,70.21,56,100,12.66,overcast clouds
279,Kendari,ID,-3.945,122.4989,78.73,82,100,8.19,overcast clouds
280,Passo Fundo,BR,-28.2628,-52.4067,78.62,38,0,12.48,clear sky
281,Alofi,NU,-19.0595,-169.9187,75.09,94,100,11.5,overcast clouds
282,Lata,PT,40.1629,-8.3327,52.81,61,1,3.94,clear sky
283,Butembo,CD,0.15,29.2833,63.93,46,88,2.08,overcast clouds
284,Axim,GH,4.8699,-2.2405,80.15,79,54,7.9,broken clouds
285,Atar,MR,20.5169,-13.0499,80.96,8,0,8.86,clear sky
286,Sao Filipe,CV,14.8961,-24.4956,73.81,71,0,10.89,clear sky
